%time,field.joint1,field.joint2,field.joint3,field.joint4,field.joint5,field.joint6
1407436107755587109,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755641664,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755695821,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755751041,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755807091,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755863006,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755916479,10.0,0.0,0.0,0.0,0.0,0.0
1407436107755970978,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756028078,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756081072,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756136564,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756192224,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756245068,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756341592,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756396871,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756455127,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756506909,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756569416,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756626828,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756689645,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756744158,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756799409,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756853577,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756919997,10.0,0.0,0.0,0.0,0.0,0.0
1407436107756966144,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757008459,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757046735,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757087914,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757128364,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757171685,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757208265,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757252873,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757309655,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757364544,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757417524,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757474369,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757528100,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757585243,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757637815,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757692145,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757746168,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757800667,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757856718,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757908994,10.0,0.0,0.0,0.0,0.0,0.0
1407436107757963889,10.0,0.0,0.0,0.0,0.0,0.0
1407436107758023898,10.0,0.0,0.0,0.0,0.0,0.0
1407436107758082612,10.0,0.0,0.0,0.0,0.0,0.0
1407436107758180095,10.0,0.0,0.0,0.0,0.0,0.0
1407436107758236411,10.0,0.0,0.0,0.0,0.0,0.0
1407436107758287074,10.0,0.0,0.0,0.0,0.0,0.0
1407436107758342067,10.0,0.0,0.0,0.0,0.0,0.0
1407436107758416707,10.0,0.0,0.0,0.0,0.0,0.0
